RANCANGAN ANGGARAN BELANJA (RAB);;;;;;;
PETRA x DANAMON International Banking Immersion Program — Pilot Cohort;;;;;;;
;;;;;;;
No;Uraian;Volume;Satuan;Frekuensi;Harga Satuan (Rp);Jumlah (Rp);Keterangan
A. AKOMODASI;;;;;;;
1;Hotel peserta (twin share);10;kamar;6;650.000;39.000.000;Bintang 3–4, termasuk breakfast
2;Hotel pendamping / dosen Jepang;5;kamar;6;650.000;19.500.000;Opsional
;Subtotal A;;;;;58.500.000;
;;;;;;;
B. TRANSPORTASI;;;;;;;
3;Airport transfer (pickup & drop);2;trip;1;1.500.000;3.000.000;Bus + koordinasi LO
4;Bus operasional harian;1;bus;5;1.800.000;9.000.000;Senin–Jumat
5;BBM, tol, parkir & meal driver;1;paket;5;300.000;1.500.000;Per hari operasional
;Subtotal B;;;;;13.500.000;
;;;;;;;
C. KONSUMSI;;;;;;;
6;Makan siang peserta Jepang;20;pax;5;50.000;5.000.000;Hari kerja (sebagian dapat di-host)
7;Makan malam peserta Jepang (non-acara);20;pax;4;110.000;8.800.000;Min, Sel, Rab, Kam
8;Coffee break sesi lecture;70;pax;3;35.000;7.350.000;Sel, Rab, Jum (2 sesi/hari)
9;Makan siang peserta lokal (sesi bersama);50;pax;3;50.000;7.500.000;Opsional — dapat dihapus
;Subtotal C;;;;;28.650.000;
;;;;;;;
D. AKADEMIK & SERTIFIKAT;;;;;;;
10;Honorarium / token narasumber PETRA;4;sesi;1;1.000.000;4.000.000;2 dosen x 2 sesi
11;Token / plakat narasumber Danamon;1;paket;1;2.500.000;2.500.000;Cendera mata
12;Sewa ruang/aula & peralatan AV;1;paket;3;1.500.000;4.500.000;Hari lecture
13;Sertifikat co-branded;70;pax;1;25.000;1.750.000;PETRA + Danamon
14;Seminar kit & materi;70;pax;1;50.000;3.500.000;Modul, notebook, pen
;Subtotal D;;;;;16.250.000;
;;;;;;;
E. AKTIVITAS & KULTURAL;;;;;;;
15;Surabaya City Tour (guide + tiket masuk);70;pax;1;150.000;10.500.000;
16;Batik class (instruktur + bahan);70;pax;1;100.000;7.000.000;Termasuk kain & alat
17;Wonorejo Mangrove Tour (perahu + tiket);70;pax;1;125.000;8.750.000;
;Subtotal E;;;;;26.250.000;
;;;;;;;
F. ACARA (OPENING / CLOSING / FAREWELL);;;;;;;
18;Opening ceremony (dekor, sound, MC, snack);1;paket;1;8.000.000;8.000.000;Untuk seluruh tamu
19;Welcome dinner (Minggu);20;pax;1;100.000;2.000.000;
20;Closing party + farewell dinner (catering);70;pax;1;150.000;10.500.000;Peserta + tamu undangan
21;Dekorasi & hiburan closing;1;paket;1;6.000.000;6.000.000;Panggung, band/MC
22;Hadiah & sertifikat capstone;1;paket;1;3.000.000;3.000.000;Best team awards
;Subtotal F;;;;;29.500.000;
;;;;;;;
G. MERCHANDISE & DOKUMENTASI;;;;;;;
23;Welcome kit / goodie bag;70;pax;1;100.000;7.000.000;Tote, lanyard, booklet
24;Program apparel (t-shirt);70;pax;1;80.000;5.600.000;
25;Dokumentasi foto & video;1;paket;1;10.000.000;10.000.000;Tim profesional, 1 minggu
26;Banner, backdrop, spanduk;1;paket;1;3.000.000;3.000.000;
;Subtotal G;;;;;25.600.000;
;;;;;;;
H. OPERASIONAL & LAIN-LAIN;;;;;;;
27;Sekretariat, ATK, printing;1;paket;1;2.500.000;2.500.000;
28;Asuransi & P3K peserta;20;pax;1;100.000;2.000.000;Asuransi perjalanan lokal
29;LO / buddy (konsumsi & transport);1;paket;1;3.000.000;3.000.000;Mahasiswa volunteer
;Subtotal H;;;;;7.500.000;
;;;;;;;
;SUBTOTAL PROGRAM;;;;;205.750.000;
;Contingency;;;;10%;20.575.000;
;GRAND TOTAL (IDR);;;;;226.325.000;
;;;;;;;
;Biaya per peserta Jepang (indikatif, IDR);;;;;Rp11.316.250,00;
;Setara per peserta Jepang (indikatif, USD);;;;; $694,25 ;
